Column1,movie_title,year,place,rating,vote,link,duration,genre
220, Warrior,2011,221,8.2,222891,/title/tt1291584/,140 min," Action, Drama, Sport            "
221, The Revenant,2015,222,8,"12,281,500",/title/tt1663202/,156 min," Action, Adventure, Drama            "
222, Jaws,1975,223,8.1,577528,/title/tt0073195/,124 min," Adventure, Thriller            "
223, Kick-Ass,2010,224,7.6,"54,117,416",/title/tt1250777/,117 min," Action, Comedy, Crime            "
224, The Pianist,2002,225,8.5,505283,/title/tt0253474/,150 min," Biography, Drama, Music            "
225, The Terminator,1984,226,8.1,"42,438,300",/title/tt0088247/,107 min," Action, Sci-Fi            "
226, Star Wars: Episode V - The Empire Strikes Back,1980,227,8.7,138,/title/tt0080684/,124 min," Action, Adventure, Fantasy            "
227, Star Wars: Episode III - Revenge of the Sith,2005,228,7.6,424333,/title/tt0121766/,140 min," Action, Adventure, Fantasy            "
228, American History X,1998,229,8.5,"76,631,907",/title/tt0120586/,119 min, Drama            
229, Blue Is the Warmest Colour,2013,230,7.7,751388,/title/tt2278871/,180 min," Drama, Romance            "
230, Psycho,1960,231,8.5,"408,084,349",/title/tt0054215/,109 min," Horror, Mystery, Thriller            "
231, Apollo 13 (I),1995,232,7.7,597619,/title/tt0112384/,140 min," Adventure, Drama, History            "
232, Into the Wild,2007,233,8.1,"257,730,019",/title/tt0758758/,148 min," Adventure, Biography, Drama            "
233, Memories of Murder,2003,234,8.1,418727,/title/tt0353969/,132 min," Crime, Drama, Mystery            "
234, The Ten Commandments,1956,235,7.9,"130,164,645",/title/tt0049833/,220 min," Adventure, Drama, Family            "
235, Inside Out (I),2015,236,8.2,142420,/title/tt2096673/,95 min," Animation, Adventure, Comedy            "
236, Birdman or (The Unexpected Virtue of Ignorance),2014,237,7.7,759930,/title/tt2562232/,119 min," Comedy, Drama            "
237, Coraline,2009,238,7.7,"74,103,820",/title/tt0327597/,100 min," Animation, Drama, Family            "
238, The Lord of the Rings: The Two Towers,2002,239,8.8,937023,/title/tt0167261/,179 min," Action, Adventure, Drama            "
239, Life Is Beautiful,1997,240,8.6,"164,615,351",/title/tt0118799/,116 min," Comedy, Drama, Romance            "
240, X: First Class,2011,241,7.7,177,/title/tt1270798/,131 min," Action, Adventure, Sci-Fi            "
241, Star Wars: Episode VI - Return of the Jedi,1983,242,8.3,989216,/title/tt0086190/,131 min," Action, Adventure, Fantasy            "
242," Three Billboards Outside Ebbing, Missouri",2017,243,8.1,"2,832,029",/title/tt5027774/,115 min," Comedy, Crime, Drama            "
243, Fargo,1996,244,8.1,90,/title/tt0116282/,98 min," Crime, Thriller            "
244, The Exorcist,1973,245,8.1,962014,/title/tt0070047/,122 min, Horror            
245, Brokeback Mountain,2005,246,7.7,"191,796,233",/title/tt0388795/,134 min," Drama, Romance            "
246, Amadeus,1984,247,8.4,75,/title/tt0086879/,160 min," Biography, Drama, Music            "
247, The Intouchables,2011,248,8.5,462926,/title/tt1675434/,112 min," Biography, Comedy, Drama            "
248, 12 Years a Slave,2013,249,8.1,"13,657,115",/title/tt2024544/,134 min," Biography, Drama, History            "
249, How to Train Your Dragon,2010,250,8.1,169,/title/tt0892769/,98 min," Animation, Action, Adventure            "
250,1 Young Frankenstein,1974,251,8,155494,/title/tt0072431/,106 min, Comedy            
251,2 Hell or High Water (II),2016,252,7.6,"86,300,000",/title/tt2582782/,102 min," Action, Crime, Drama            "
252,3 The Mitchells vs the Machines,2021,253,7.6,224924,/title/tt7979580/,113 min," Animation, Adventure, Comedy            "
253,4 The Curious Case of Benjamin Button,2008,254,7.8,"26,862,450",/title/tt0421715/,166 min," Drama, Fantasy, Romance            "
254,5 Superbad,2007,255,7.6,100402,/title/tt0829482/,113 min, Comedy            
255,6 Rush (I),2013,256,8.1,634402,/title/tt1979320/,123 min," Action, Biography, Drama            "
256,7 12 Monkeys,1995,257,8,"127,509,326",/title/tt0114746/,129 min," Mystery, Sci-Fi, Thriller            "
257,8 Howl's Moving Castle,2004,258,8.2,562139,/title/tt0347149/,119 min," Animation, Adventure, Family            "
258,9 Gattaca,1997,259,7.8,"121,463,226",/title/tt0119177/,106 min," Drama, Sci-Fi, Thriller            "
259,0 Pan's Labyrinth,2006,260,8.2,467993,/title/tt0457430/,118 min," Drama, Fantasy, War            "
260, Edge of Tomorrow,2014,261,7.9,"26,947,624",/title/tt1631867/,113 min," Action, Adventure, Sci-Fi            "
261, Your Name,2016,262,8.4,216,/title/tt5311514/,106 min," Animation, Drama, Fantasy            "
262, Soul,2020,263,8,608129,/title/tt2948372/,100 min," Animation, Adventure, Comedy            "
263, Cast Away,2000,264,7.8,"57,141,459",/title/tt0162222/,143 min," Adventure, Drama, Romance            "
264, Trainspotting,1996,265,8.1,378378,/title/tt0117951/,93 min, Drama            
265, Big Fish,2003,266,8,"4,711,096",/title/tt0319061/,125 min," Adventure, Drama, Fantasy            "
266, Coco (I),2017,267,8.4,165,/title/tt2380307/,105 min," Animation, Adventure, Comedy            "
267, Midnight in Paris,2011,268,7.7,298198,/title/tt1605783/,94 min," Comedy, Fantasy, Romance            "
268, Incredibles 2,2018,269,7.6,"12,339,633",/title/tt3606756/,118 min," Animation, Action, Adventure            "
269, The Last Samurai,2003,270,7.8,655521,/title/tt0325710/,154 min," Action, Drama            "
270, Hot Fuzz,2007,271,7.8,"37,634,615",/title/tt0425112/,121 min," Action, Comedy, Mystery            "
271, The Sound of Music,1965,272,8.1,137,/title/tt0059742/,172 min," Biography, Drama, Family            "
272, The Thing,1982,273,8.2,655187,/title/tt0084787/,109 min," Horror, Mystery, Sci-Fi            "
273, Paddington 2,2017,274,7.8,"100,206,256",/title/tt4468740/,103 min," Adventure, Comedy, Family            "
274, Room (I),2015,275,8.1,249263,/title/tt3170832/,118 min," Drama, Thriller            "
275, The Godfather: Part III,1990,276,7.6,"5,017,246",/title/tt0099674/,162 min," Crime, Drama            "
276, Inside Man,2006,277,7.6,86,/title/tt0454848/,129 min," Crime, Drama, Mystery            "
277, Silver Linings Playbook,2012,278,7.7,308148,/title/tt1045658/,122 min," Comedy, Drama, Romance            "
278, Finding Nemo,2003,279,8.2,575206,/title/tt0266543/,100 min," Animation, Adventure, Comedy            "
279, Rocky,1976,280,8.1,"233,632,142",/title/tt0075148/,120 min," Drama, Sport            "
280, Captain America: The Winter Soldier,2014,281,7.8,673114,/title/tt1843866/,136 min," Action, Adventure, Sci-Fi            "
281, Aladdin,1992,282,8,"16,501,785",/title/tt0103639/,90 min," Animation, Adventure, Comedy            "
282, Manchester by the Sea,2016,283,7.8,166,/title/tt4034228/,137 min, Drama            
283, Singin' in the Rain,1952,284,8.3,435522,/title/tt0045152/,103 min," Comedy, Musical, Romance            "
284, Once Upon a Time in the West,1968,285,8.5,"66,257,002",/title/tt0064116/,165 min, Western            
285, Home Alone,1990,286,7.7,475450,/title/tt0099785/,103 min," Comedy, Family            "
286, Planet of the Apes,1968,287,8,"209,726,015",/title/tt0063442/,112 min," Adventure, Sci-Fi            "
287, Black Hawk Down,2001,288,7.7,77,/title/tt0265086/,144 min," Action, Drama, History            "
288, True Grit,2010,289,7.6,415806,/title/tt1403865/,110 min," Drama, Western            "
289, WALL·E,2008,290,8.4,"56,816,662",/title/tt0910970/,98 min," Animation, Adventure, Family            "
290, RoboCop,1987,291,7.6,284715,/title/tt0093870/,102 min," Action, Crime, Sci-Fi            "
291, X-Men: Days of Future Past,2014,292,8,"608,581,744",/title/tt1877832/,132 min," Action, Adventure, Sci-Fi            "
292, Shaun of the Dead,2004,293,7.9,429137,/title/tt0365748/,99 min," Comedy, Horror            "
293, Casablanca,1942,294,8.5,"111,110,575",/title/tt0034583/,102 min," Drama, Romance, War            "
294, Remember the Titans,2000,295,7.8,495456,/title/tt0210945/,113 min," Biography, Drama, Sport            "
295, Gone with the Wind,1939,296,8.2,"23,637,265",/title/tt0031381/,238 min," Drama, History, Romance            "
296, Slumdog Millionaire,2008,297,8,225886,/title/tt1010048/,120 min," Drama, Romance            "
297, Amélie,2001,298,8.3,"163,214,286",/title/tt0211915/,122 min," Comedy, Romance            "
298, The Fugitive,1993,299,7.8,242,/title/tt0106977/,130 min," Action, Crime, Drama            "
299, Hidden Figures,2016,300,7.8,408831,/title/tt4846340/,127 min," Biography, Drama, History            "
300,1 The Hobbit: The Desolation of Smaug,2013,301,7.8,642166,/title/tt1170358/,161 min," Adventure, Fantasy            "
301,"2 Monsters, Inc",2001,302,8.1,"258,366,855",/title/tt0198781/,92 min," Animation, Adventure, Comedy            "
302,3 Before Sunrise,1995,303,8.1,881778,/title/tt0112471/,101 min," Drama, Romance            "
303,4 500 Days of Summer,2009,304,7.7,"289,916,256",/title/tt1022603/,95 min," Comedy, Drama, Romance            "
304,5 Spotlight (I),2015,305,8.1,206,/title/tt1895587/,129 min," Biography, Crime, Drama            "
305,6 3 Idiots,2009,306,8.4,298134,/title/tt1187043/,170 min," Comedy, Drama            "
306,7 Up,2009,307,8.3,"5,535,405",/title/tt1049413/,96 min," Animation, Adventure, Comedy            "
307,8 Tangled,2010,308,7.7,186,/title/tt0398286/,100 min," Animation, Adventure, Comedy            "
308,9 Finding Neverland,2004,309,7.7,502416,/title/tt0308644/,106 min," Biography, Drama, Family            "
309,0 The Thin Red Line,1998,310,7.6,"32,391,374",/title/tt0120863/,170 min," Drama, History, War            "
310, Taken (I),2008,311,7.8,458857,/title/tt0936501/,90 min," Action, Crime, Thriller            "
311, The Lego Movie,2014,312,7.7,"45,055,776",/title/tt1490017/,100 min," Animation, Action, Adventure            "
312, In Bruges,2008,313,7.9,217,/title/tt0780536/,107 min," Comedy, Crime, Drama            "
313, A Star Is Born,2018,314,7.6,385273,/title/tt1517451/,136 min," Drama, Music, Romance            "
314, Downfall,2004,315,8.2,"6,532,908",/title/tt0363163/,156 min," Biography, Drama, History            "
315, My Cousin Vinny,1992,316,7.6,88,/title/tt0104952/,120 min," Comedy, Crime            "
316, The Butterfly Effect,2004,317,7.6,1012448,/title/tt0289879/,113 min," Drama, Sci-Fi, Thriller            "
317, Crash (I),2004,318,7.8,"293,004,164",/title/tt0375679/,112 min," Crime, Drama, Thriller            "
318, The Lives of Others,2006,319,8.4,114,/title/tt0405094/,137 min," Drama, Mystery, Thriller            "
319, All About Eve,1950,320,8.2,439630,/title/tt0042192/,138 min, Drama            
320, Dances with Wolves,1990,321,8,"200,821,936",/title/tt0099348/,181 min," Adventure, Drama, Western            "
321, Dallas Buyers Club,2013,322,7.9,204703,/title/tt0790636/,117 min," Biography, Drama            "
322, Indiana Jones and the Last Crusade,1989,323,8.2,"51,680,613",/title/tt0097576/,127 min," Action, Adventure            "
323, The Count of Monte Cristo,2002,324,7.7,185215,/title/tt0245844/,131 min," Action, Adventure, Drama            "
324, Captain Fantastic,2016,325,7.8,"36,400,491",/title/tt3553976/,118 min," Comedy, Drama            "
325, Marriage Story,2019,326,7.9,592953,/title/tt7653254/,137 min," Drama, Romance            "
326, The Last of the Mohicans,1992,327,7.7,"145,000,989",/title/tt0104691/,112 min," Action, Adventure, Drama            "
327, Incendies,2010,328,8.3,345988,/title/tt1255953/,131 min," Drama, Mystery, War            "
328," Crouching Tiger, Hidden Dragon",2000,329,7.9,"257,760,692",/title/tt0190332/,120 min," Action, Adventure, Drama            "
329, Saw,2004,330,7.6,413479,/title/tt0387564/,103 min," Horror, Mystery, Thriller            "
330, The Boy in the Striped Pajamas,2008,331,7.7,"7,757,130",/title/tt0914798/,94 min," Drama, War            "
331, Kung Fu Panda,2008,332,7.6,372536,/title/tt0441773/,92 min," Animation, Action, Adventure            "
332, Big Hero 6,2014,333,7.8,"215,288,866",/title/tt2245084/,102 min," Animation, Action, Adventure            "
333, Toy Story 4,2019,334,7.7,349907,/title/tt1979376/,100 min," Animation, Adventure, Comedy            "
334, The Fighter (I),2010,335,7.8,"5,509,040",/title/tt0964517/,116 min," Action, Biography, Drama            "
335, The Blues Brothers,1980,336,7.9,125,/title/tt0080455/,133 min," Action, Adventure, Comedy            "
336, Misery,1990,337,7.8,121395,/title/tt0100157/,107 min," Drama, Thriller            "
337, Children of Men,2006,338,7.9,"52,929,168",/title/tt0206634/,109 min," Action, Drama, Sci-Fi            "
338, The Machinist,2004,339,7.7,480009,/title/tt0361862/,101 min," Drama, Thriller            "
339, Halloween,1978,340,7.7,"57,938,693",/title/tt0077651/,91 min," Horror, Thriller            "
340, The Deer Hunter,1978,341,8.1,433111,/title/tt0077416/,183 min," Drama, War            "
341, Moon,2009,342,7.8,"54,580,300",/title/tt1182345/,97 min," Drama, Mystery, Sci-Fi            "
342, The Holy Mountain,1973,343,7.8,382852,/title/tt0071615/,114 min," Adventure, Drama, Fantasy            "
343, Adaptation,2002,344,7.7,"11,286,112",/title/tt0268126/,115 min," Comedy, Drama            "
344, Cinema Paradiso,1988,345,8.5,59,/title/tt0095765/,155 min," Drama, Romance            "
345, Boyhood (I),2014,346,7.9,129459,/title/tt1065073/,165 min, Drama            
346, Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,347,8.4,"10,177",/title/tt0057012/,95 min," Comedy, War            "
